"quote_id","category_id","category_zh_hant","psychological_need_zh_hant","quote_direction_zh_hant","original_language","quote_original","quote_en","quote_zh_hant","author_en","author_zh_hant","speaker","source_title","source_location","source_url","source_text_url","original_publication_period","author_death","rights_jurisdiction","copyright_status","copyright_basis_zh","copyright_rule_url","author_or_text_evidence_url","translation_note","content_tags","editorial_notes","checked_date"
"HCQ0141","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English（公版英譯來源；古代經文原語非英語）","Come away into a deserted place, and rest awhile.","Come away into a deserted place, and rest awhile.","到一個安靜無人的地方，休息一會吧。","Mark (traditional attribution)","馬可（傳統歸屬）","耶穌（福音書所記）","The Holy Bible — Mark／《聖經·馬可福音》（World English Bible, engwebp）","Mark 6:31／馬可福音 6:31（節錄）","https://ebible.org/engwebp/MRK06.htm#V31","https://ebible.org/engwebp/MRK06.htm#V31","古代經文；World English Bible 2020 stable text edition（engwebp；2026-09-21核對）","古代作者；現代英譯依出版方公版聲明，不以譯者死亡年限判斷","Hong Kong","Public domain dedication — publisher statement; Hong Kong use assessment","古代聖經文本；所用World English Bible英譯由出版方明確獻予公有領域，並允許複製、分發、出售及引用；不是依賴現代譯者死亡年限。繁體中文為本次由此英譯新譯，並非WEB官方中文版。","https://ebible.org/engwebp/copyright.htm","https://ebible.org/engwebp/copyright.htm","原文及英文欄為World English Bible英譯，並非古代原語；繁體中文為2026-09-21獨立新譯，非WEB官方中文版。","護老者; 文學陪伴; C01; 好攰，想抖吓; 基督宗教; faith:christian","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。 宗教來源已標籤，宜依使用者意願顯示；不把信仰教導當成必須遵守的要求。","2026-09-21"
"HCQ0072","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English","I love a broad margin to my life.","I love a broad margin to my life.","我喜歡在生活裏，留下一片寬闊的空白。","Henry David Thoreau","亨利・大衛・梭羅","亨利・大衛・梭羅","Walden／《湖濱散記》","Walden — Sounds","https://www.gutenberg.org/ebooks/205","https://www.gutenberg.org/cache/epub/205/pg205.txt","1854","1862","Hong Kong","Public domain original — research assessment","原作者卒於1862年，已超過香港文學作品一般作者身後50年的保護期；只取歷史原文，不含現代譯文、編者註解或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://www.gutenberg.org/ebooks/205","英文保留來源摘句；繁體中文為2026-09-21獨立新譯，以香港讀者易讀的白話表達，未把護老者情境加進引文本身。","護老者; 文學陪伴; C01; 好攰，想抖吓; 文學／哲思","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0054","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English","Why should we live with such hurry and waste of life?","Why should we live with such hurry and waste of life?","我們為甚麼要如此匆忙，反而把生命耗掉？","Henry David Thoreau","亨利・大衛・梭羅","亨利・大衛・梭羅","Walden／《湖濱散記》","Walden — Where I Lived, and What I Lived For","https://www.gutenberg.org/ebooks/205","https://www.gutenberg.org/cache/epub/205/pg205.txt","1854","1862","Hong Kong","Public domain original — research assessment","原作者卒於1862年，已超過香港文學作品一般作者身後50年的保護期；只取歷史原文，不含現代譯文、編者註解或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://www.gutenberg.org/ebooks/205","英文保留來源摘句；繁體中文為2026-09-21獨立新譯，以香港讀者易讀的白話表達，未把護老者情境加進引文本身。","護老者; 文學陪伴; C01; 好攰，想抖吓; 文學／哲思","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0104","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English","Why should we be in such desperate haste to succeed, and in such desperate enterprises?","Why should we be in such desperate haste to succeed, and in such desperate enterprises?","我們為甚麼非要如此焦急地追求成功，投入如此拼命的奔忙？","Henry David Thoreau","亨利・大衛・梭羅","亨利・大衛・梭羅","Walden／《湖濱散記》","Walden — Conclusion","https://www.gutenberg.org/ebooks/205","https://www.gutenberg.org/cache/epub/205/pg205.txt","1854","1862","Hong Kong","Public domain original — research assessment","原作者卒於1862年，已超過香港文學作品一般作者身後50年的保護期；只取歷史原文，不含現代譯文、編者註解或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://www.gutenberg.org/ebooks/205","英文保留來源摘句；繁體中文為2026-09-21獨立新譯，以香港讀者易讀的白話表達，未把護老者情境加進引文本身。","護老者; 文學陪伴; C01; 好攰，想抖吓; 文學／哲思","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0088","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","文言中文","持而盈之，不如其已；揣而銳之，不可長保。","Rather than keep filling what is already full, stop; an edge sharpened too keenly cannot be preserved for long.","握住已滿的杯還要再添，不如及時停下；把鋒刃磨得太尖，也難以長久保持。","Laozi (traditional attribution)","老子（傳統歸屬）","老子（傳統歸屬）","《道德經》","第9章","https://ctext.org/dao-de-jing","https://ctext.org/dao-de-jing","先秦古籍","古代；生卒年未確定","Hong Kong","Public domain original — research assessment","先秦／漢代傳世古籍原文，歷史作者及文本年代已遠超一般版權期限；只取古文，不含網站現代譯注或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://ctext.org/dao-de-jing","古文保留來源文字；繁體中文白話及英文均為2026-09-21獨立新譯。","護老者; 文學陪伴; C01; 好攰，想抖吓; 中國古典哲學","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0017","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","文言中文","知止所以不殆。","Knowing when to stop is how one avoids danger.","懂得何時停下，才能免於危險。","Laozi (traditional attribution)","老子（傳統歸屬）","老子（傳統歸屬）","《道德經》","第32章","https://ctext.org/dao-de-jing","https://ctext.org/dao-de-jing","先秦古籍","古代；生卒年未確定","Hong Kong","Public domain original — research assessment","先秦／漢代傳世古籍原文，歷史作者及文本年代已遠超一般版權期限；只取古文，不含網站現代譯注或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://ctext.org/dao-de-jing","古文保留來源文字；繁體中文白話及英文均為2026-09-21獨立新譯。","護老者; 文學陪伴; C01; 好攰，想抖吓; 中國古典哲學","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0103","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","文言中文","知足不辱，知止不殆，可以長久。","Knowing enough avoids humiliation; knowing when to stop avoids danger. In this way one can last.","懂得知足，便少受屈辱；知道適可而止，便少陷危險，才能走得長久。","Laozi (traditional attribution)","老子（傳統歸屬）","老子（傳統歸屬）","《道德經》","第44章","https://ctext.org/dao-de-jing","https://ctext.org/dao-de-jing","先秦古籍","古代；生卒年未確定","Hong Kong","Public domain original — research assessment","先秦／漢代傳世古籍原文，歷史作者及文本年代已遠超一般版權期限；只取古文，不含網站現代譯注或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://ctext.org/dao-de-jing","古文保留來源文字；繁體中文白話及英文均為2026-09-21獨立新譯。","護老者; 文學陪伴; C01; 好攰，想抖吓; 中國古典哲學","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。 知足並不等於放棄合理需要或經濟支援。","2026-09-21"
"HCQ0098","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","文言中文","企者不立；跨者不行。","One who stands on tiptoe cannot stand firmly; one who overstrides cannot walk well.","踮着腳難以站穩，步子跨得過大，也難以走遠。","Laozi (traditional attribution)","老子（傳統歸屬）","老子（傳統歸屬）","《道德經》","第24章","https://ctext.org/dao-de-jing","https://ctext.org/dao-de-jing","先秦古籍","古代；生卒年未確定","Hong Kong","Public domain original — research assessment","先秦／漢代傳世古籍原文，歷史作者及文本年代已遠超一般版權期限；只取古文，不含網站現代譯注或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://ctext.org/dao-de-jing","古文保留來源文字；繁體中文白話及英文均為2026-09-21獨立新譯。","護老者; 文學陪伴; C01; 好攰，想抖吓; 中國古典哲學","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。","2026-09-21"
"HCQ0111","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English","Even your body knows its heritage and its rightful need and will not be deceived.","Even your body knows its heritage and its rightful need and will not be deceived.","連你的身體，也知道它承接的一切與應有的需要，不會被蒙騙。","Kahlil Gibran","紀伯倫","Almustafa／阿爾穆斯塔法（作品人物）","The Prophet／《先知》","On Pleasure","https://www.gutenberg.org/ebooks/58585","https://www.gutenberg.org/cache/epub/58585/pg58585.txt","1923","1931","Hong Kong","Public domain original — research assessment","原作者卒於1931年，已超過香港文學作品一般作者身後50年的保護期；只取歷史原文，不含現代譯文、編者註解或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://www.gutenberg.org/ebooks/58585","英文保留來源摘句；繁體中文為2026-09-21獨立新譯，以香港讀者易讀的白話表達，未把護老者情境加進引文本身。","護老者; 文學陪伴; C01; 好攰，想抖吓; 寓言散文詩; 靈性文學","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。 說話者為作品人物Almustafa，並非作者訪談。","2026-09-21"
"HCQ0159","C01","好攰，想抖吓","容許休息、照顧身體、接受分擔","承認疲累，留白與休息不必靠表現換取；不催促繼續撐下去。","English","If you tire, give me both burdens, and rest the chuff of your hand on my hip, And in due time you shall repay the same service to me,","If you tire, give me both burdens, and rest the chuff of your hand on my hip, And in due time you shall repay the same service to me,","你若累了，就把兩份行李都交給我，將手掌靠在我的腰旁歇一歇；到了合適的時候，你也可以這樣幫助我。","Walt Whitman","華特・惠特曼","詩中抒情者","Leaves of Grass／《草葉集》","Song of Myself, 46","https://www.gutenberg.org/ebooks/1322","https://www.gutenberg.org/cache/epub/1322/pg1322.txt","1855–1892（多次增訂）","1892","Hong Kong","Public domain original — research assessment","原作者卒於1892年，已超過香港文學作品一般作者身後50年的保護期；只取歷史原文，不含現代譯文、編者註解或版面。","https://www.ip.gov.hk/en/types-of-ip/copyright/duration-of-copyright/index.html","https://www.gutenberg.org/ebooks/1322","英文保留來源摘句；繁體中文為2026-09-21獨立新譯，以香港讀者易讀的白話表達，未把護老者情境加進引文本身。","護老者; 文學陪伴; C01; 好攰，想抖吓; 文學／哲思","原文已與source_text_url所列文本核對，忽略排版空白及標點差異；保留摘句邊界。護老者情境配對屬編輯判斷，並非原作者的臨床建議。 互助的文學描寫；求助不以日後有能力回報為前提。","2026-09-21"
